General Information,,,Data Category #1: Test Organism,,,,,,Data Category #2: Experimental Parameters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Data Category #3: Biological Effects,,,,,,,,Category #4: Particle Characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,Data Category #5: Quality Criteria,,,,,,,,,,,,,,,Screening Criteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOI,Authors,Year,Species,Organism Group,Environment,Life Stage,In vitro In vivo,Sex,Experiment Type,Exposure Route,Particle Mix?,Negative Control,Reference Particle,Exposure Media,Solvent,Detergent,Media Salinity (ppt),Media pH,Media Temp (Mean),Media Temp Min,Media Temp Max,Exposure Duration (Days),Treatments,Replicates,Dosing Frequency,Sample Size,Nominal Dose - Mass,Nominal Dose - Mass Units,Nominal Dose - Particles,Nominal Dose - Particles Units,Nominal Dose Alternative Category,Nominal Dose - Alternative Type,Nominal Dose - Alternative Type Units,Nominal Chemicals Added,Nominal Added Chemical Dose,Nominal Added Chemical Dose Units,Measured Dose - Mass,Measured Dose - Mass Units,Measured Dose - Particles,Measured Dose - Particles Units,Measured Dose Alternative Category,Measured Dose Alternative,Measured Dose Alternative Units,Measured Chemicals Added,Measured Chemical Dose,Measured Chemical Dose Units,Effect,Effect Metric,Direction,Broad Endpoint Category,Specific Endpoint Category,Endpoint,Level of Biological Organization,Target Cell or Tissue,Polymer,Density (g/cm^3),Density (Reported/Estimated),Shape,Charge,Zeta Potential (mV),Zeta Potential Media,Functional Group,Size Length mm Nominal,Size Length mm Nominal (minimum),Size Length mm Nominal (maximum),Size Length mm Measured,Size Length mm Measured (minimum),Size Length mm Measured (Maximum),Size Width mm Nominal,Size Width mm Nominal (minimum),Size Width mm Nominal (maximum),Size Width mm Measured,Size Width mm Measured (minimum),Size Width mm Measured (maximum),Size Height mm Nominal,Size Height mm Nominal (minimum),Size Height mm Nominal (maximum),Size Height mm Measured,Size Height mm Measured (minimum),Size Height mm Measured (maximum),Weathered or Biofouled?,Size Validated?,Shape Validated?,Polymer Validated?,Particle Source,Sodium Azide Present?,Screened for Chemical Contamination?,Particle Cleaning?,Solvent Rinse,Background Contamination Monitored?,Concentration Validated?,Particle Behavior,Uptake Validated?,Uptake Validation Method,Tissue Distribution,Organisms Fed?,Tech A1,Tech A2,Tech A3,Tech A4,Tech A5,Tech A6,Tech 1,Tech 2,Tech 3,Tech 4,Tech 5,Tech 6,Tech 7,Tech 8,Tech 9,Tech 10,Tech 11,Tech 12,Risk B1,Risk 13,Risk 14,Risk 15,Risk 16,Risk 17,Risk 18,Risk 19,Risk 20,Tech Total,Risk Total,Overall Total
doi.org/10.1016/j.envpol.2020.115769,Sendra,2021,Danio rerio,Fish,Freshwater,Early,In Vitro,NA,Particle Only,water,No,Yes,No,dulbecco's modified eagle's medium,NA,NA,NA,NA,NA,NA,NA,0.125,1,4,0,NA,25,ug/mL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,HONEC,NA,Metabolism,Autophagy,becn1 mRNA expression,Subcell,Fibroblastic-like cells,Polystyrene,1.07,estimated,Sphere,negative,-9.1,dulbecco's modified eagle's medium,NA,0.00005,NA,NA,0.0002246,0.0000891,0.00036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,yes,no,commercial,unknown,No,Not Cleaned,No,No,No,aggregates observed visually,Yes,confocal microscopy flourescent particles,subcellular,NA,Pass,Pass,Pass,Pass,Pass,Pass,2,2,2,2,1,0,0,0,0,0,1,2,Fail,0,2,0,0,0,0,1,0,12,3,15
doi.org/10.1016/j.envpol.2020.115769,Sendra,2021,Danio rerio,Fish,Freshwater,Early,In Vitro,NA,Particle Only,water,No,Yes,No,dulbecco's modified eagle's medium,NA,NA,NA,NA,NA,NA,NA,0.125,1,4,0,NA,25,ug/mL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,HONEC,NA,Metabolism,Autophagy,becn1 mRNA expression,Subcell,Fibroblastic-like cells,Polystyrene,1.07,estimated,Sphere,negative,-8.1,dulbecco's modified eagle's medium,NA,0.001,NA,NA,0.0013,0.000855,0.0018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,yes,no,commercial,unknown,No,Not Cleaned,No,No,No,aggregates observed visually,Yes,confocal microscopy flourescent particles,subcellular,NA,Pass,Pass,Pass,Pass,Pass,Pass,2,2,2,2,1,0,0,0,0,0,1,2,Fail,0,2,0,0,0,0,1,0,12,3,15
doi.org/10.1016/j.envpol.2020.115769,Sendra,2021,Danio rerio,Fish,Freshwater,Early,In Vitro,NA,Particle Only,water,No,Yes,No,dulbecco's modified eagle's medium,NA,NA,NA,NA,NA,NA,NA,1,1,4,0,NA,25,ug/mL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,HONEC,NA,Metabolism,Autophagy,becn1 mRNA expression,Subcell,Fibroblastic-like cells,Polystyrene,1.07,estimated,Sphere,negative,-9.1,dulbecco's modified eagle's medium,NA,0.00005,NA,NA,0.0002246,0.0000891,0.00036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,yes,no,commercial,unknown,No,Not Cleaned,No,No,No,aggregates observed visually,Yes,confocal microscopy flourescent particles,subcellular,NA,Pass,Pass,Pass,Pass,Pass,Pass,2,2,2,2,1,0,0,0,0,0,1,2,Fail,0,2,0,0,0,0,1,0,12,3,15
doi.org/10.1016/j.envpol.2020.115769,Sendra,2021,Danio rerio,Fish,Freshwater,Early,In Vitro,NA,Particle Only,water,No,Yes,No,dulbecco's modified eagle's medium,NA,NA,NA,NA,NA,NA,NA,1,1,4,0,NA,25,ug/mL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,HONEC,NA,Metabolism,Autophagy,becn1 mRNA expression,Subcell,Fibroblastic-like cells,Polystyrene,1.07,estimated,Sphere,negative,-8.1,dulbecco's modified eagle's medium,NA,0.001,NA,NA,0.0013,0.000855,0.0018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,yes,no,commercial,unknown,No,Not Cleaned,No,No,No,aggregates observed visually,Yes,confocal microscopy flourescent particles,subcellular,NA,Pass,Pass,Pass,Pass,Pass,Pass,2,2,2,2,1,0,0,0,0,0,1,2,Fail,0,2,0,0,0,0,1,0,12,3,15
doi.org/10.1016/j.envpol.2020.115769,Sendra,2021,Danio rerio,Fish,Freshwater,Early,In Vitro,NA,Particle Only,water,No,Yes,No,dulbecco's modified eagle's medium,NA,NA,NA,NA,NA,NA,NA,0.125,1,4,0,NA,25,ug/mL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,HONEC,NA,Metabolism,Autophagy,gabarap mRNA expression,Subcell,Fibroblastic-like cells,Polystyrene,1.07,estimated,Sphere,negative,-9.1,dulbecco's modified eagle's medium,NA,0.00005,NA,NA,0.0002246,0.0000891,0.00036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,yes,no,commercial,unknown,No,Not Cleaned,No,No,No,aggregates observed visually,Yes,confocal microscopy flourescent particles,subcellular,NA,Pass,Pass,Pass,Pass,Pass,Pass,2,2,2,2,1,0,0,0,0,0,1,2,Fail,0,2,0,0,0,0,1,0,12,3,15
doi.org/10.1016/j.envpol.2020.115769,Sendra,2021,Danio rerio,Fish,Freshwater,Early,In Vitro,NA,Particle Only,water,No,Yes,No,dulbecco's modified eagle's medium,NA,NA,NA,NA,NA,NA,NA,0.125,1,4,0,NA,25,ug/mL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,HONEC,NA,Metabolism,Autophagy,gabarap mRNA expression,Subcell,Fibroblastic-like cells,Polystyrene,1.07,estimated,Sphere,negative,-8.1,dulbecco's modified eagle's medium,NA,0.001,NA,NA,0.0013,0.000855,0.0018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,yes,no,commercial,unknown,No,Not Cleaned,No,No,No,aggregates observed visually,Yes,confocal microscopy flourescent particles,subcellular,NA,Pass,Pass,Pass,Pass,Pass,Pass,2,2,2,2,1,0,0,0,0,0,1,2,Fail,0,2,0,0,0,0,1,0,12,3,15
doi.org/10.1016/j.envpol.2020.115769,Sendra,2021,Danio rerio,Fish,Freshwater,Early,In Vitro,NA,Particle Only,water,No,Yes,No,dulbecco's modified eagle's medium,NA,NA,NA,NA,NA,NA,NA,1,1,4,0,NA,25,ug/mL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,HONEC,NA,Metabolism,Autophagy,gabarap mRNA expression,Subcell,Fibroblastic-like cells,Polystyrene,1.07,estimated,Sphere,negative,-9.1,dulbecco's modified eagle's medium,NA,0.00005,NA,NA,0.0002246,0.0000891,0.00036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,yes,no,commercial,unknown,No,Not Cleaned,No,No,No,aggregates observed visually,Yes,confocal microscopy flourescent particles,subcellular,NA,Pass,Pass,Pass,Pass,Pass,Pass,2,2,2,2,1,0,0,0,0,0,1,2,Fail,0,2,0,0,0,0,1,0,12,3,15
doi.org/10.1016/j.envpol.2020.115769,Sendra,2021,Danio rerio,Fish,Freshwater,Early,In Vitro,NA,Particle Only,water,No,Yes,No,dulbecco's modified eagle's medium,NA,NA,NA,NA,NA,NA,NA,1,1,4,0,NA,25,ug/mL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,HONEC,NA,Metabolism,Autophagy,gabarap mRNA expression,Subcell,Fibroblastic-like cells,Polystyrene,1.07,estimated,Sphere,negative,-8.1,dulbecco's modified eagle's medium,NA,0.001,NA,NA,0.0013,0.000855,0.0018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,yes,no,commercial,unknown,No,Not Cleaned,No,No,No,aggregates observed visually,Yes,confocal microscopy flourescent particles,subcellular,NA,Pass,Pass,Pass,Pass,Pass,Pass,2,2,2,2,1,0,0,0,0,0,1,2,Fail,0,2,0,0,0,0,1,0,12,3,15
doi.org/10.1016/j.envpol.2020.115769,Sendra,2021,Danio rerio,Fish,Freshwater,Early,In Vitro,NA,Particle Only,water,No,Yes,No,dulbecco's modified eagle's medium,NA,NA,NA,NA,NA,NA,NA,0.125,1,4,0,NA,25,ug/mL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,HONEC,NA,Metabolism,Autophagy,atg5 mRNA expression,Subcell,Fibroblastic-like cells,Polystyrene,1.07,estimated,Sphere,negative,-9.1,dulbecco's modified eagle's medium,NA,0.00005,NA,NA,0.0002246,0.0000891,0.00036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,yes,no,commercial,unknown,No,Not Cleaned,No,No,No,aggregates observed visually,Yes,confocal microscopy flourescent particles,subcellular,NA,Pass,Pass,Pass,Pass,Pass,Pass,2,2,2,2,1,0,0,0,0,0,1,2,Fail,0,2,0,0,0,0,1,0,12,3,15
doi.org/10.1016/j.envpol.2020.115769,Sendra,2021,Danio rerio,Fish,Freshwater,Early,In Vitro,NA,Particle Only,water,No,Yes,No,dulbecco's modified eagle's medium,NA,NA,NA,NA,NA,NA,NA,0.125,1,4,0,NA,25,ug/mL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,HONEC,NA,Metabolism,Autophagy,atg5 mRNA expression,Subcell,Fibroblastic-like cells,Polystyrene,1.07,estimated,Sphere,negative,-8.1,dulbecco's modified eagle's medium,NA,0.001,NA,NA,0.0013,0.000855,0.0018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,yes,no,commercial,unknown,No,Not Cleaned,No,No,No,aggregates observed visually,Yes,confocal microscopy flourescent particles,subcellular,NA,Pass,Pass,Pass,Pass,Pass,Pass,2,2,2,2,1,0,0,0,0,0,1,2,Fail,0,2,0,0,0,0,1,0,12,3,15
doi.org/10.1016/j.envpol.2020.115769,Sendra,2021,Danio rerio,Fish,Freshwater,Early,In Vitro,NA,Particle Only,water,No,Yes,No,dulbecco's modified eagle's medium,NA,NA,NA,NA,NA,NA,NA,1,1,4,0,NA,25,ug/mL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,HONEC,NA,Metabolism,Autophagy,atg5 mRNA expression,Subcell,Fibroblastic-like cells,Polystyrene,1.07,estimated,Sphere,negative,-9.1,dulbecco's modified eagle's medium,NA,0.00005,NA,NA,0.0002246,0.0000891,0.00036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,yes,no,commercial,unknown,No,Not Cleaned,No,No,No,aggregates observed visually,Yes,confocal microscopy flourescent particles,subcellular,NA,Pass,Pass,Pass,Pass,Pass,Pass,2,2,2,2,1,0,0,0,0,0,1,2,Fail,0,2,0,0,0,0,1,0,12,3,15
doi.org/10.1016/j.envpol.2020.115769,Sendra,2021,Danio rerio,Fish,Freshwater,Early,In Vitro,NA,Particle Only,water,No,Yes,No,dulbecco's modified eagle's medium,NA,NA,NA,NA,NA,NA,NA,1,1,4,0,NA,25,ug/mL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,HONEC,NA,Metabolism,Autophagy,atg5 mRNA expression,Subcell,Fibroblastic-like cells,Polystyrene,1.07,estimated,Sphere,negative,-8.1,dulbecco's modified eagle's medium,NA,0.001,NA,NA,0.0013,0.000855,0.0018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,yes,no,commercial,unknown,No,Not Cleaned,No,No,No,aggregates observed visually,Yes,confocal microscopy flourescent particles,subcellular,NA,Pass,Pass,Pass,Pass,Pass,Pass,2,2,2,2,1,0,0,0,0,0,1,2,Fail,0,2,0,0,0,0,1,0,12,3,15
doi.org/10.1016/j.envpol.2020.115769,Sendra,2021,Danio rerio,Fish,Freshwater,Early,In Vivo,NA,Particle Only,water,No,Yes,No,zebrafish water,NA,NA,NA,7,28.5,28,29,1,1,18,0,1,10,mg/L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,LOEC,increase,Immune,Immune Cells,Macrophage number,Tissue,gut,Polystyrene,1.07,estimated,Sphere,negative,-23.3,zebrafish water,NA,0.00005,NA,NA,0.0000514,0.0000376,0.0000652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,yes,no,commercial,unknown,No,Not Cleaned,No,No,No,Not Evaluated,Yes,confocal microscopy flourescent particles,"gut,whole body",No,Pass,Pass,Pass,Pass,Pass,Pass,2,2,2,2,1,0,0,0,0,0,1,2,Fail,0,2,0,0,1,0,0,0,12,3,15
doi.org/10.1016/j.envpol.2020.115769,Sendra,2021,Danio rerio,Fish,Freshwater,Early,In Vivo,NA,Particle Only,water,No,Yes,No,zebrafish water,NA,NA,NA,7,28.5,28,29,1,1,18,0,1,10,mg/L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,LOEC,increase,Immune,Immune Cells,Macrophage number,Tissue,gut,Polystyrene,1.07,estimated,Sphere,negative,-34.4,zebrafish water,NA,0.001,NA,NA,0.001026,0.000836,0.001216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,yes,no,commercial,unknown,No,Not Cleaned,No,No,No,Not Evaluated,Yes,confocal microscopy flourescent particles,"gut,whole body",No,Pass,Pass,Pass,Pass,Pass,Pass,2,2,2,2,1,0,0,0,0,0,1,2,Fail,0,2,0,0,1,0,0,0,12,3,15
doi.org/10.1016/j.envpol.2020.115769,Sendra,2021,Danio rerio,Fish,Freshwater,Early,In Vivo,NA,Particle Only,water,No,Yes,No,zebrafish water,NA,NA,NA,7,28.5,28,29,1,1,18,0,1,10,mg/L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,LOEC,increase,Immune,Immune Cells,Macrophage number,Tissue,caudal fin,Polystyrene,1.07,estimated,Sphere,negative,-23.3,zebrafish water,NA,0.00005,NA,NA,0.0000514,0.0000376,0.0000652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,yes,no,commercial,unknown,No,Not Cleaned,No,No,No,Not Evaluated,Yes,confocal microscopy flourescent particles,"gut,whole body",No,Pass,Pass,Pass,Pass,Pass,Pass,2,2,2,2,1,0,0,0,0,0,1,2,Fail,0,2,0,0,1,0,0,0,12,3,15
doi.org/10.1016/j.envpol.2020.115769,Sendra,2021,Danio rerio,Fish,Freshwater,Early,In Vivo,NA,Particle Only,water,No,Yes,No,zebrafish water,NA,NA,NA,7,28.5,28,29,1,1,18,0,1,10,mg/L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,LOEC,increase,Immune,Immune Cells,Macrophage number,Tissue,caudal fin,Polystyrene,1.07,estimated,Sphere,negative,-34.4,zebrafish water,NA,0.001,NA,NA,0.001026,0.000836,0.001216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,yes,no,commercial,unknown,No,Not Cleaned,No,No,No,Not Evaluated,Yes,confocal microscopy flourescent particles,"gut,whole body",No,Pass,Pass,Pass,Pass,Pass,Pass,2,2,2,2,1,0,0,0,0,0,1,2,Fail,0,2,0,0,1,0,0,0,12,3,15
doi.org/10.1016/j.envpol.2020.115769,Sendra,2021,Danio rerio,Fish,Freshwater,Early,In Vivo,NA,Particle Only,water,No,Yes,No,zebrafish water,NA,NA,NA,7,28.5,28,29,1,1,18,0,1,10,mg/L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,LOEC,increase,Immune,Immune Cells,Neutrophil number,Tissue,gut,Polystyrene,1.07,estimated,Sphere,negative,-23.3,zebrafish water,NA,0.00005,NA,NA,0.0000514,0.0000376,0.0000652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,yes,no,commercial,unknown,No,Not Cleaned,No,No,No,Not Evaluated,Yes,confocal microscopy flourescent particles,"gut,whole body",No,Pass,Pass,Pass,Pass,Pass,Pass,2,2,2,2,1,0,0,0,0,0,1,2,Fail,0,2,0,0,1,0,0,0,12,3,15
doi.org/10.1016/j.envpol.2020.115769,Sendra,2021,Danio rerio,Fish,Freshwater,Early,In Vivo,NA,Particle Only,water,No,Yes,No,zebrafish water,NA,NA,NA,7,28.5,28,29,1,1,18,0,1,10,mg/L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,LOEC,increase,Immune,Immune Cells,Neutrophil number,Tissue,gut,Polystyrene,1.07,estimated,Sphere,negative,-34.4,zebrafish water,NA,0.001,NA,NA,0.001026,0.000836,0.001216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,yes,no,commercial,unknown,No,Not Cleaned,No,No,No,Not Evaluated,Yes,confocal microscopy flourescent particles,"gut,whole body",No,Pass,Pass,Pass,Pass,Pass,Pass,2,2,2,2,1,0,0,0,0,0,1,2,Fail,0,2,0,0,1,0,0,0,12,3,15
doi.org/10.1016/j.envpol.2020.115769,Sendra,2021,Danio rerio,Fish,Freshwater,Early,In Vivo,NA,Particle Only,water,No,Yes,No,zebrafish water,NA,NA,NA,7,28.5,28,29,1,1,18,0,1,10,mg/L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,LOEC,increase,Immune,Immune Cells,Neutrophil number,Tissue,caudal fin,Polystyrene,1.07,estimated,Sphere,negative,-23.3,zebrafish water,NA,0.00005,NA,NA,0.0000514,0.0000376,0.0000652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,yes,no,commercial,unknown,No,Not Cleaned,No,No,No,Not Evaluated,Yes,confocal microscopy flourescent particles,"gut,whole body",No,Pass,Pass,Pass,Pass,Pass,Pass,2,2,2,2,1,0,0,0,0,0,1,2,Fail,0,2,0,0,1,0,0,0,12,3,15
doi.org/10.1016/j.envpol.2020.115769,Sendra,2021,Danio rerio,Fish,Freshwater,Early,In Vivo,NA,Particle Only,water,No,Yes,No,zebrafish water,NA,NA,NA,7,28.5,28,29,1,1,18,0,1,10,mg/L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,LOEC,increase,Immune,Immune Cells,Neutrophil number,Tissue,caudal fin,Polystyrene,1.07,estimated,Sphere,negative,-34.4,zebrafish water,NA,0.001,NA,NA,0.001026,0.000836,0.001216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,yes,no,commercial,unknown,No,Not Cleaned,No,No,No,Not Evaluated,Yes,confocal microscopy flourescent particles,"gut,whole body",No,Pass,Pass,Pass,Pass,Pass,Pass,2,2,2,2,1,0,0,0,0,0,1,2,Fail,0,2,0,0,1,0,0,0,12,3,15
doi.org/10.1016/j.envpol.2020.115769,Sendra,2021,Danio rerio,Fish,Freshwater,Early,In Vivo,NA,Particle Only,water,No,Yes,No,zebrafish water,NA,NA,NA,7,28.5,28,29,1,1,10,0,1,10,mg/L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,LOEC,increase,Metabolism,Oxidative Stress,Reactive Oxygen Species Production,Subcell,whole.body,Polystyrene,1.07,estimated,Sphere,negative,-23.3,zebrafish water,NA,0.00005,NA,NA,0.0000514,0.0000376,0.0000652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,yes,no,commercial,unknown,No,Not Cleaned,No,No,No,Not Evaluated,Yes,confocal microscopy flourescent particles,"gut,whole body",No,Pass,Pass,Pass,Pass,Pass,Pass,2,2,2,2,1,0,0,0,0,0,1,2,Fail,0,2,0,0,1,0,0,0,12,3,15
doi.org/10.1016/j.envpol.2020.115769,Sendra,2021,Danio rerio,Fish,Freshwater,Early,In Vivo,NA,Particle Only,water,No,Yes,No,zebrafish water,NA,NA,NA,7,28.5,28,29,1,1,10,0,1,10,mg/L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,LOEC,increase,Metabolism,Oxidative Stress,Reactive Oxygen Species Production,Subcell,whole.body,Polystyrene,1.07,estimated,Sphere,negative,-34.4,zebrafish water,NA,0.001,NA,NA,0.001026,0.000836,0.001216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,yes,no,commercial,unknown,No,Not Cleaned,No,No,No,Not Evaluated,Yes,confocal microscopy flourescent particles,"gut,whole body",No,Pass,Pass,Pass,Pass,Pass,Pass,2,2,2,2,1,0,0,0,0,0,1,2,Fail,0,2,0,0,1,0,0,0,12,3,15
doi.org/10.1016/j.envpol.2020.115769,Sendra,2021,Danio rerio,Fish,Freshwater,Early,In Vivo,NA,Particle Only,water,No,Yes,No,zebrafish water,NA,NA,NA,7,28.5,28,29,1,1,4,0,10,10,mg/L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,HONEC,NA,Metabolism,Oxidative Stress,nrf2 mRNA expression,Subcell,whole.body,Polystyrene,1.07,estimated,Sphere,negative,-23.3,zebrafish water,NA,0.00005,NA,NA,0.0000514,0.0000376,0.0000652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,yes,no,commercial,unknown,No,Not Cleaned,No,No,No,Not Evaluated,Yes,confocal microscopy flourescent particles,"gut,whole body",No,Pass,Pass,Pass,Pass,Pass,Pass,2,2,2,2,1,0,0,0,0,0,1,2,Fail,0,2,0,0,1,0,0,0,12,3,15
doi.org/10.1016/j.envpol.2020.115769,Sendra,2021,Danio rerio,Fish,Freshwater,Early,In Vivo,NA,Particle Only,water,No,Yes,No,zebrafish water,NA,NA,NA,7,28.5,28,29,1,1,4,0,10,10,mg/L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,HONEC,NA,Metabolism,Oxidative Stress,nrf2 mRNA expression,Subcell,whole.body,Polystyrene,1.07,estimated,Sphere,negative,-34.4,zebrafish water,NA,0.001,NA,NA,0.001026,0.000836,0.001216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,yes,no,commercial,unknown,No,Not Cleaned,No,No,No,Not Evaluated,Yes,confocal microscopy flourescent particles,"gut,whole body",No,Pass,Pass,Pass,Pass,Pass,Pass,2,2,2,2,1,0,0,0,0,0,1,2,Fail,0,2,0,0,1,0,0,0,12,3,15
doi.org/10.1016/j.envpol.2020.115769,Sendra,2021,Danio rerio,Fish,Freshwater,Early,In Vivo,NA,Particle Only,water,No,Yes,No,zebrafish water,NA,NA,NA,7,28.5,28,29,1,1,4,0,10,10,mg/L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,LOEC,decrease,Metabolism,Oxidative Stress,Catalase mRNA expression,Subcell,whole.body,Polystyrene,1.07,estimated,Sphere,negative,-23.3,zebrafish water,NA,0.00005,NA,NA,0.0000514,0.0000376,0.0000652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,yes,no,commercial,unknown,No,Not Cleaned,No,No,No,Not Evaluated,Yes,confocal microscopy flourescent particles,"gut,whole body",No,Pass,Pass,Pass,Pass,Pass,Pass,2,2,2,2,1,0,0,0,0,0,1,2,Fail,0,2,0,0,1,0,0,0,12,3,15
doi.org/10.1016/j.envpol.2020.115769,Sendra,2021,Danio rerio,Fish,Freshwater,Early,In Vivo,NA,Particle Only,water,No,Yes,No,zebrafish water,NA,NA,NA,7,28.5,28,29,1,1,4,0,10,10,mg/L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,LOEC,decrease,Metabolism,Oxidative Stress,Catalase mRNA expression,Subcell,whole.body,Polystyrene,1.07,estimated,Sphere,negative,-34.4,zebrafish water,NA,0.001,NA,NA,0.001026,0.000836,0.001216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,yes,no,commercial,unknown,No,Not Cleaned,No,No,No,Not Evaluated,Yes,confocal microscopy flourescent particles,"gut,whole body",No,Pass,Pass,Pass,Pass,Pass,Pass,2,2,2,2,1,0,0,0,0,0,1,2,Fail,0,2,0,0,1,0,0,0,12,3,15
