General Information,,,Data Category #1: Test Organism,,,,,,Data Category #2: Experimental Parameters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Data Category #3: Biological Effects,,,,,,,,Category #4: Particle Characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,Data Category #5: Quality Criteria,,,,,,,,,,,,,,,Screening Criteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOI,Authors,Year,Species,Organism Group,Environment,Life Stage,In vitro In vivo,Sex,Experiment Type,Exposure Route,Particle Mix?,Negative Control,Reference Particle,Exposure Media,Solvent,Detergent,Media Salinity (ppt),Media pH,Media Temp (Mean),Media Temp Min,Media Temp Max,Exposure Duration (Days),Treatments,Replicates,Dosing Frequency,Sample Size,Nominal Dose - Mass,Nominal Dose - Mass Units,Nominal Dose - Particles,Nominal Dose - Particles Units,Nominal Dose Alternative Category,Nominal Dose - Alternative Type,Nominal Dose - Alternative Type Units,Nominal Chemicals Added,Nominal Added Chemical Dose,Nominal Added Chemical Dose Units,Measured Dose - Mass,Measured Dose - Mass Units,Measured Dose - Particles,Measured Dose - Particles Units,Measured Dose Alternative Category,Measured Dose Alternative,Measured Dose Alternative Units,Measured Chemicals Added,Measured Chemical Dose,Measured Chemical Dose Units,Effect,Effect Metric,Direction,Broad Endpoint Category,Specific Endpoint Category,Endpoint,Level of Biological Organization,Target Cell or Tissue,Polymer,Density (g/cm^3),Density (Reported/Estimated),Shape,Charge,Zeta Potential (mV),Zeta Potential Media,Functional Group,Size Length mm Nominal,Size Length mm Nominal (minimum),Size Length mm Nominal (maximum),Size Length mm Measured,Size Length mm Measured (minimum),Size Length mm Measured (Maximum),Size Width mm Nominal,Size Width mm Nominal (minimum),Size Width mm Nominal (maximum),Size Width mm Measured,Size Width mm Measured (minimum),Size Width mm Measured (maximum),Size Height mm Nominal,Size Height mm Nominal (minimum),Size Height mm Nominal (maximum),Size Height mm Measured,Size Height mm Measured (minimum),Size Height mm Measured (maximum),Weathered or Biofouled?,Size Validated?,Shape Validated?,Polymer Validated?,Particle Source,Sodium Azide Present?,Screened for Chemical Contamination?,Particle Cleaning?,Solvent Rinse,Background Contamination Monitored?,Concentration Validated?,Particle Behavior,Uptake Validated?,Uptake Validation Method,Tissue Distribution,Organisms Fed?,Tech A1,Tech A2,Tech A3,Tech A4,Tech A5,Tech A6,Tech 1,Tech 2,Tech 3,Tech 4,Tech 5,Tech 6,Tech 7,Tech 8,Tech 9,Tech 10,Tech 11,Tech 12,Risk B1,Risk 13,Risk 14,Risk 15,Risk 16,Risk 17,Risk 18,Risk 19,Risk 20,Tech Total,Risk Total,Overall Total
10.1021/acs.est.3c06829,de Ruitjer,2023,Potamopyrgus antipodarum,Mollusca,Marine,Adult,In Vivo,NA,Particle Only,sediment,Yes,Yes,No,sediment dutch standard water,NA,NA,0,7.99,16.1,NA,NA,28,6,4,0,20,NA,NA,NA,NA,NA,5.90E+06,particles/kg sediment dry weight,NA,NA,NA,NA,NA,NA,NA,NA,1.00E+03,mg/kg sediment,NA,NA,NA,No,NA,NA,Fitness,Mortality,Mortality,Organism,NA,Mix - See Original Study,NA,NA,Fragment,NA,NA,NA,NA,NA,NA,NA,0.048,0.009,4.999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,Yes,modified,No,No,rinse,"methanol,hexane",Yes,Yes,homogenized stirring,Yes,NA,NA,Yes,Pass,Pass,Pass,Pass,Pass,Pass,2,2,2,2,2,2,2,2,2,2,2,2,Pass,2,2,2,2,2,1,2,2,24,15,39
10.1021/acs.est.3c06829,de Ruitjer,2023,Potamopyrgus antipodarum,Mollusca,Marine,Adult,In Vivo,NA,Particle Only,sediment,Yes,Yes,No,sediment dutch standard water,NA,NA,0,7.99,16.1,NA,NA,28,6,4,0,20,NA,NA,NA,NA,NA,1.80E+07,particles/kg sediment dry weight,NA,NA,NA,NA,NA,NA,NA,NA,3.00E+03,mg/kg sediment,NA,NA,NA,No,NA,NA,Fitness,Mortality,Mortality,Organism,NA,Mix - See Original Study,NA,NA,Fragment,NA,NA,NA,NA,NA,NA,NA,0.048,0.009,4.999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,Yes,modified,No,No,rinse,"methanol,hexane",Yes,Yes,homogenized stirring,Yes,NA,NA,Yes,Pass,Pass,Pass,Pass,Pass,Pass,2,2,2,2,2,2,2,2,2,2,2,2,Pass,2,2,2,2,2,1,2,2,24,15,39
10.1021/acs.est.3c06829,de Ruitjer,2023,Potamopyrgus antipodarum,Mollusca,Marine,Adult,In Vivo,NA,Particle Only,sediment,Yes,Yes,No,sediment dutch standard water,NA,NA,0,7.99,16.1,NA,NA,28,6,4,0,20,NA,NA,NA,NA,NA,5.90E+07,particles/kg sediment dry weight,NA,NA,NA,NA,NA,NA,NA,NA,1.00E+04,mg/kg sediment,NA,NA,NA,No,NA,NA,Fitness,Mortality,Mortality,Organism,NA,Mix - See Original Study,NA,NA,Fragment,NA,NA,NA,NA,NA,NA,NA,0.048,0.009,4.999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,Yes,modified,No,No,rinse,"methanol,hexane",Yes,Yes,homogenized stirring,Yes,NA,NA,Yes,Pass,Pass,Pass,Pass,Pass,Pass,2,2,2,2,2,2,2,2,2,2,2,2,Pass,2,2,2,2,2,1,2,2,24,15,39
10.1021/acs.est.3c06829,de Ruitjer,2023,Potamopyrgus antipodarum,Mollusca,Marine,Adult,In Vivo,NA,Particle Only,sediment,Yes,Yes,No,sediment dutch standard water,NA,NA,0,7.99,16.1,NA,NA,28,6,4,0,20,NA,NA,NA,NA,NA,1.50E+08,particles/kg sediment dry weight,NA,NA,NA,NA,NA,NA,NA,NA,2.50E+04,mg/kg sediment,NA,NA,NA,No,NA,NA,Fitness,Mortality,Mortality,Organism,NA,Mix - See Original Study,NA,NA,Fragment,NA,NA,NA,NA,NA,NA,NA,0.048,0.009,4.999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,Yes,modified,No,No,rinse,"methanol,hexane",Yes,Yes,homogenized stirring,Yes,NA,NA,Yes,Pass,Pass,Pass,Pass,Pass,Pass,2,2,2,2,2,2,2,2,2,2,2,2,Pass,2,2,2,2,2,1,2,2,24,15,39
10.1021/acs.est.3c06829,de Ruitjer,2023,Potamopyrgus antipodarum,Mollusca,Marine,Adult,In Vivo,NA,Particle Only,sediment,Yes,Yes,No,sediment dutch standard water,NA,NA,0,7.99,16.1,NA,NA,28,6,4,0,20,NA,NA,NA,NA,NA,2.90E+08,particles/kg sediment dry weight,NA,NA,NA,NA,NA,NA,NA,NA,5.00E+04,mg/kg sediment,NA,NA,NA,No,NA,NA,Fitness,Mortality,Mortality,Organism,NA,Mix - See Original Study,NA,NA,Fragment,NA,NA,NA,NA,NA,NA,NA,0.048,0.009,4.999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,Yes,modified,No,No,rinse,"methanol,hexane",Yes,Yes,homogenized stirring,Yes,NA,NA,Yes,Pass,Pass,Pass,Pass,Pass,Pass,2,2,2,2,2,2,2,2,2,2,2,2,Pass,2,2,2,2,2,1,2,2,24,15,39
10.1021/acs.est.3c06829,de Ruitjer,2023,Potamopyrgus antipodarum,Mollusca,Marine,Adult,In Vivo,NA,Particle Only,sediment,Yes,Yes,No,sediment dutch standard water,NA,NA,0,7.99,16.1,NA,NA,28,6,4,0,20,NA,NA,NA,NA,NA,5.90E+08,particles/kg sediment dry weight,NA,NA,NA,NA,NA,NA,NA,NA,1.00E+05,mg/kg sediment,NA,NA,NA,No,HONEC,NA,Fitness,Mortality,Mortality,Organism,NA,Mix - See Original Study,NA,NA,Fragment,NA,NA,NA,NA,NA,NA,NA,0.048,0.009,4.999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,Yes,modified,No,No,rinse,"methanol,hexane",Yes,Yes,homogenized stirring,Yes,NA,NA,Yes,Pass,Pass,Pass,Pass,Pass,Pass,2,2,2,2,2,2,2,2,2,2,2,2,Pass,2,2,2,2,2,1,2,2,24,15,39
10.1021/acs.est.3c06829,de Ruitjer,2023,Potamopyrgus antipodarum,Mollusca,Marine,Adult,In Vivo,NA,Particle Only,sediment,Yes,Yes,No,sediment dutch standard water,NA,NA,0,7.99,16.1,NA,NA,28,6,4,0,20,NA,NA,NA,NA,NA,5.90E+06,particles/kg sediment dry weight,NA,NA,NA,NA,NA,NA,NA,NA,1.00E+03,mg/kg sediment,NA,NA,NA,No,NA,NA,Fitness,Growth,Body Length,Organism,NA,Mix - See Original Study,NA,NA,Fragment,NA,NA,NA,NA,NA,NA,NA,0.048,0.009,4.999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,Yes,modified,No,No,rinse,"methanol,hexane",Yes,Yes,homogenized stirring,Yes,NA,NA,Yes,Pass,Pass,Pass,Pass,Pass,Pass,2,2,2,2,2,2,2,2,2,2,2,2,Pass,2,2,2,2,2,1,2,2,24,15,39
10.1021/acs.est.3c06829,de Ruitjer,2023,Potamopyrgus antipodarum,Mollusca,Marine,Adult,In Vivo,NA,Particle Only,sediment,Yes,Yes,No,sediment dutch standard water,NA,NA,0,7.99,16.1,NA,NA,28,6,4,0,20,NA,NA,NA,NA,NA,1.80E+07,particles/kg sediment dry weight,NA,NA,NA,NA,NA,NA,NA,NA,3.00E+03,mg/kg sediment,NA,NA,NA,No,NA,NA,Fitness,Growth,Body Length,Organism,NA,Mix - See Original Study,NA,NA,Fragment,NA,NA,NA,NA,NA,NA,NA,0.048,0.009,4.999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,Yes,modified,No,No,rinse,"methanol,hexane",Yes,Yes,homogenized stirring,Yes,NA,NA,Yes,Pass,Pass,Pass,Pass,Pass,Pass,2,2,2,2,2,2,2,2,2,2,2,2,Pass,2,2,2,2,2,1,2,2,24,15,39
10.1021/acs.est.3c06829,de Ruitjer,2023,Potamopyrgus antipodarum,Mollusca,Marine,Adult,In Vivo,NA,Particle Only,sediment,Yes,Yes,No,sediment dutch standard water,NA,NA,0,7.99,16.1,NA,NA,28,6,4,0,20,NA,NA,NA,NA,NA,5.90E+07,particles/kg sediment dry weight,NA,NA,NA,NA,NA,NA,NA,NA,1.00E+04,mg/kg sediment,NA,NA,NA,No,NA,NA,Fitness,Growth,Body Length,Organism,NA,Mix - See Original Study,NA,NA,Fragment,NA,NA,NA,NA,NA,NA,NA,0.048,0.009,4.999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,Yes,modified,No,No,rinse,"methanol,hexane",Yes,Yes,homogenized stirring,Yes,NA,NA,Yes,Pass,Pass,Pass,Pass,Pass,Pass,2,2,2,2,2,2,2,2,2,2,2,2,Pass,2,2,2,2,2,1,2,2,24,15,39
10.1021/acs.est.3c06829,de Ruitjer,2023,Potamopyrgus antipodarum,Mollusca,Marine,Adult,In Vivo,NA,Particle Only,sediment,Yes,Yes,No,sediment dutch standard water,NA,NA,0,7.99,16.1,NA,NA,28,6,4,0,20,NA,NA,NA,NA,NA,1.50E+08,particles/kg sediment dry weight,NA,NA,NA,NA,NA,NA,NA,NA,2.50E+04,mg/kg sediment,NA,NA,NA,No,NA,NA,Fitness,Growth,Body Length,Organism,NA,Mix - See Original Study,NA,NA,Fragment,NA,NA,NA,NA,NA,NA,NA,0.048,0.009,4.999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,Yes,modified,No,No,rinse,"methanol,hexane",Yes,Yes,homogenized stirring,Yes,NA,NA,Yes,Pass,Pass,Pass,Pass,Pass,Pass,2,2,2,2,2,2,2,2,2,2,2,2,Pass,2,2,2,2,2,1,2,2,24,15,39
10.1021/acs.est.3c06829,de Ruitjer,2023,Potamopyrgus antipodarum,Mollusca,Marine,Adult,In Vivo,NA,Particle Only,sediment,Yes,Yes,No,sediment dutch standard water,NA,NA,0,7.99,16.1,NA,NA,28,6,4,0,20,NA,NA,NA,NA,NA,2.90E+08,particles/kg sediment dry weight,NA,NA,NA,NA,NA,NA,NA,NA,5.00E+04,mg/kg sediment,NA,NA,NA,No,NA,NA,Fitness,Growth,Body Length,Organism,NA,Mix - See Original Study,NA,NA,Fragment,NA,NA,NA,NA,NA,NA,NA,0.048,0.009,4.999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,Yes,modified,No,No,rinse,"methanol,hexane",Yes,Yes,homogenized stirring,Yes,NA,NA,Yes,Pass,Pass,Pass,Pass,Pass,Pass,2,2,2,2,2,2,2,2,2,2,2,2,Pass,2,2,2,2,2,1,2,2,24,15,39
10.1021/acs.est.3c06829,de Ruitjer,2023,Potamopyrgus antipodarum,Mollusca,Marine,Adult,In Vivo,NA,Particle Only,sediment,Yes,Yes,No,sediment dutch standard water,NA,NA,0,7.99,16.1,NA,NA,28,6,4,0,20,NA,NA,NA,NA,NA,5.90E+08,particles/kg sediment dry weight,NA,NA,NA,NA,NA,NA,NA,NA,1.00E+05,mg/kg sediment,NA,NA,NA,No,HONEC,NA,Fitness,Growth,Body Length,Organism,NA,Mix - See Original Study,NA,NA,Fragment,NA,NA,NA,NA,NA,NA,NA,0.048,0.009,4.999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,Yes,modified,No,No,rinse,"methanol,hexane",Yes,Yes,homogenized stirring,Yes,NA,NA,Yes,Pass,Pass,Pass,Pass,Pass,Pass,2,2,2,2,2,2,2,2,2,2,2,2,Pass,2,2,2,2,2,1,2,2,24,15,39
10.1021/acs.est.3c06829,de Ruitjer,2023,Tubifex NA,Annelida,Freshwater,Adult,In Vivo,NA,Particle Only,sediment,Yes,Yes,No,sediment dutch standard water,NA,NA,0,8,15.8,NA,NA,28,6,4,0,20,NA,NA,NA,NA,NA,5.90E+06,particles/kg sediment dry weight,NA,NA,NA,NA,NA,NA,NA,NA,1.00E+03,mg/kg sediment,NA,NA,NA,No,NA,NA,Fitness,Mortality,Mortality,Organism,NA,Mix - See Original Study,NA,NA,Fragment,NA,NA,NA,NA,NA,NA,NA,0.048,0.009,4.999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,Yes,modified,No,No,rinse,"methanol,hexane",Yes,Yes,homogenized stirring,Yes,NA,NA,Yes,Pass,Pass,Pass,Pass,Pass,Pass,2,2,2,2,2,2,2,2,2,2,2,2,Pass,2,2,2,2,2,1,2,2,24,15,39
10.1021/acs.est.3c06829,de Ruitjer,2023,Tubifex NA,Annelida,Freshwater,Adult,In Vivo,NA,Particle Only,sediment,Yes,Yes,No,sediment dutch standard water,NA,NA,0,8,15.8,NA,NA,28,6,4,0,20,NA,NA,NA,NA,NA,1.80E+07,particles/kg sediment dry weight,NA,NA,NA,NA,NA,NA,NA,NA,3.00E+03,mg/kg sediment,NA,NA,NA,No,NA,NA,Fitness,Mortality,Mortality,Organism,NA,Mix - See Original Study,NA,NA,Fragment,NA,NA,NA,NA,NA,NA,NA,0.048,0.009,4.999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,Yes,modified,No,No,rinse,"methanol,hexane",Yes,Yes,homogenized stirring,Yes,NA,NA,Yes,Pass,Pass,Pass,Pass,Pass,Pass,2,2,2,2,2,2,2,2,2,2,2,2,Pass,2,2,2,2,2,1,2,2,24,15,39
10.1021/acs.est.3c06829,de Ruitjer,2023,Tubifex NA,Annelida,Freshwater,Adult,In Vivo,NA,Particle Only,sediment,Yes,Yes,No,sediment dutch standard water,NA,NA,0,8,15.8,NA,NA,28,6,4,0,20,NA,NA,NA,NA,NA,5.90E+07,particles/kg sediment dry weight,NA,NA,NA,NA,NA,NA,NA,NA,1.00E+04,mg/kg sediment,NA,NA,NA,No,NA,NA,Fitness,Mortality,Mortality,Organism,NA,Mix - See Original Study,NA,NA,Fragment,NA,NA,NA,NA,NA,NA,NA,0.048,0.009,4.999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,Yes,modified,No,No,rinse,"methanol,hexane",Yes,Yes,homogenized stirring,Yes,NA,NA,Yes,Pass,Pass,Pass,Pass,Pass,Pass,2,2,2,2,2,2,2,2,2,2,2,2,Pass,2,2,2,2,2,1,2,2,24,15,39
10.1021/acs.est.3c06829,de Ruitjer,2023,Tubifex NA,Annelida,Freshwater,Adult,In Vivo,NA,Particle Only,sediment,Yes,Yes,No,sediment dutch standard water,NA,NA,0,8,15.8,NA,NA,28,6,4,0,20,NA,NA,NA,NA,NA,1.50E+08,particles/kg sediment dry weight,NA,NA,NA,NA,NA,NA,NA,NA,2.50E+04,mg/kg sediment,NA,NA,NA,No,NA,NA,Fitness,Mortality,Mortality,Organism,NA,Mix - See Original Study,NA,NA,Fragment,NA,NA,NA,NA,NA,NA,NA,0.048,0.009,4.999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,Yes,modified,No,No,rinse,"methanol,hexane",Yes,Yes,homogenized stirring,Yes,NA,NA,Yes,Pass,Pass,Pass,Pass,Pass,Pass,2,2,2,2,2,2,2,2,2,2,2,2,Pass,2,2,2,2,2,1,2,2,24,15,39
10.1021/acs.est.3c06829,de Ruitjer,2023,Tubifex NA,Annelida,Freshwater,Adult,In Vivo,NA,Particle Only,sediment,Yes,Yes,No,sediment dutch standard water,NA,NA,0,8,15.8,NA,NA,28,6,4,0,20,NA,NA,NA,NA,NA,2.90E+08,particles/kg sediment dry weight,NA,NA,NA,NA,NA,NA,NA,NA,5.00E+04,mg/kg sediment,NA,NA,NA,No,NA,NA,Fitness,Mortality,Mortality,Organism,NA,Mix - See Original Study,NA,NA,Fragment,NA,NA,NA,NA,NA,NA,NA,0.048,0.009,4.999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,Yes,modified,No,No,rinse,"methanol,hexane",Yes,Yes,homogenized stirring,Yes,NA,NA,Yes,Pass,Pass,Pass,Pass,Pass,Pass,2,2,2,2,2,2,2,2,2,2,2,2,Pass,2,2,2,2,2,1,2,2,24,15,39
10.1021/acs.est.3c06829,de Ruitjer,2023,Tubifex NA,Annelida,Freshwater,Adult,In Vivo,NA,Particle Only,sediment,Yes,Yes,No,sediment dutch standard water,NA,NA,0,8,15.8,NA,NA,28,6,4,0,20,NA,NA,NA,NA,NA,5.90E+08,particles/kg sediment dry weight,NA,NA,NA,NA,NA,NA,NA,NA,1.00E+05,mg/kg sediment,NA,NA,NA,No,HONEC,NA,Fitness,Mortality,Mortality,Organism,NA,Mix - See Original Study,NA,NA,Fragment,NA,NA,NA,NA,NA,NA,NA,0.048,0.009,4.999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,Yes,modified,No,No,rinse,"methanol,hexane",Yes,Yes,homogenized stirring,Yes,NA,NA,Yes,Pass,Pass,Pass,Pass,Pass,Pass,2,2,2,2,2,2,2,2,2,2,2,2,Pass,2,2,2,2,2,1,2,2,24,15,39
10.1021/acs.est.3c06829,de Ruitjer,2023,Tubifex NA,Annelida,Freshwater,Adult,In Vivo,NA,Particle Only,sediment,Yes,Yes,No,sediment dutch standard water,NA,NA,0,8,15.8,NA,NA,28,6,4,0,20,NA,NA,NA,NA,NA,5.90E+06,particles/kg sediment dry weight,NA,NA,NA,NA,NA,NA,NA,NA,1.00E+03,mg/kg sediment,NA,NA,NA,No,NA,NA,Fitness,Growth,Body Length,Organism,NA,Mix - See Original Study,NA,NA,Fragment,NA,NA,NA,NA,NA,NA,NA,0.048,0.009,4.999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,Yes,modified,No,No,rinse,"methanol,hexane",Yes,Yes,homogenized stirring,Yes,NA,NA,Yes,Pass,Pass,Pass,Pass,Pass,Pass,2,2,2,2,2,2,2,2,2,2,2,2,Pass,2,2,2,2,2,1,2,2,24,15,39
10.1021/acs.est.3c06829,de Ruitjer,2023,Tubifex NA,Annelida,Freshwater,Adult,In Vivo,NA,Particle Only,sediment,Yes,Yes,No,sediment dutch standard water,NA,NA,0,8,15.8,NA,NA,28,6,4,0,20,NA,NA,NA,NA,NA,1.80E+07,particles/kg sediment dry weight,NA,NA,NA,NA,NA,NA,NA,NA,3.00E+03,mg/kg sediment,NA,NA,NA,No,NA,NA,Fitness,Growth,Body Length,Organism,NA,Mix - See Original Study,NA,NA,Fragment,NA,NA,NA,NA,NA,NA,NA,0.048,0.009,4.999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,Yes,modified,No,No,rinse,"methanol,hexane",Yes,Yes,homogenized stirring,Yes,NA,NA,Yes,Pass,Pass,Pass,Pass,Pass,Pass,2,2,2,2,2,2,2,2,2,2,2,2,Pass,2,2,2,2,2,1,2,2,24,15,39
10.1021/acs.est.3c06829,de Ruitjer,2023,Tubifex NA,Annelida,Freshwater,Adult,In Vivo,NA,Particle Only,sediment,Yes,Yes,No,sediment dutch standard water,NA,NA,0,8,15.8,NA,NA,28,6,4,0,20,NA,NA,NA,NA,NA,5.90E+07,particles/kg sediment dry weight,NA,NA,NA,NA,NA,NA,NA,NA,1.00E+04,mg/kg sediment,NA,NA,NA,No,NA,NA,Fitness,Growth,Body Length,Organism,NA,Mix - See Original Study,NA,NA,Fragment,NA,NA,NA,NA,NA,NA,NA,0.048,0.009,4.999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,Yes,modified,No,No,rinse,"methanol,hexane",Yes,Yes,homogenized stirring,Yes,NA,NA,Yes,Pass,Pass,Pass,Pass,Pass,Pass,2,2,2,2,2,2,2,2,2,2,2,2,Pass,2,2,2,2,2,1,2,2,24,15,39
10.1021/acs.est.3c06829,de Ruitjer,2023,Tubifex NA,Annelida,Freshwater,Adult,In Vivo,NA,Particle Only,sediment,Yes,Yes,No,sediment dutch standard water,NA,NA,0,8,15.8,NA,NA,28,6,4,0,20,NA,NA,NA,NA,NA,1.50E+08,particles/kg sediment dry weight,NA,NA,NA,NA,NA,NA,NA,NA,2.50E+04,mg/kg sediment,NA,NA,NA,No,NA,NA,Fitness,Growth,Body Length,Organism,NA,Mix - See Original Study,NA,NA,Fragment,NA,NA,NA,NA,NA,NA,NA,0.048,0.009,4.999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,Yes,modified,No,No,rinse,"methanol,hexane",Yes,Yes,homogenized stirring,Yes,NA,NA,Yes,Pass,Pass,Pass,Pass,Pass,Pass,2,2,2,2,2,2,2,2,2,2,2,2,Pass,2,2,2,2,2,1,2,2,24,15,39
10.1021/acs.est.3c06829,de Ruitjer,2023,Tubifex NA,Annelida,Freshwater,Adult,In Vivo,NA,Particle Only,sediment,Yes,Yes,No,sediment dutch standard water,NA,NA,0,8,15.8,NA,NA,28,6,4,0,20,NA,NA,NA,NA,NA,2.90E+08,particles/kg sediment dry weight,NA,NA,NA,NA,NA,NA,NA,NA,5.00E+04,mg/kg sediment,NA,NA,NA,No,NA,NA,Fitness,Growth,Body Length,Organism,NA,Mix - See Original Study,NA,NA,Fragment,NA,NA,NA,NA,NA,NA,NA,0.048,0.009,4.999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,Yes,modified,No,No,rinse,"methanol,hexane",Yes,Yes,homogenized stirring,Yes,NA,NA,Yes,Pass,Pass,Pass,Pass,Pass,Pass,2,2,2,2,2,2,2,2,2,2,2,2,Pass,2,2,2,2,2,1,2,2,24,15,39
10.1021/acs.est.3c06829,de Ruitjer,2023,Tubifex NA,Annelida,Freshwater,Adult,In Vivo,NA,Particle Only,sediment,Yes,Yes,No,sediment dutch standard water,NA,NA,0,8,15.8,NA,NA,28,6,4,0,20,NA,NA,NA,NA,NA,5.90E+08,particles/kg sediment dry weight,NA,NA,NA,NA,NA,NA,NA,NA,1.00E+05,mg/kg sediment,NA,NA,NA,No,HONEC,NA,Fitness,Growth,Body Length,Organism,NA,Mix - See Original Study,NA,NA,Fragment,NA,NA,NA,NA,NA,NA,NA,0.048,0.009,4.999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,Yes,modified,No,No,rinse,"methanol,hexane",Yes,Yes,homogenized stirring,Yes,NA,NA,Yes,Pass,Pass,Pass,Pass,Pass,Pass,2,2,2,2,2,2,2,2,2,2,2,2,Pass,2,2,2,2,2,1,2,2,24,15,39
10.1021/acs.est.3c06829,de Ruitjer,2023,Alitta virens,Annelida,Marine,Adult,In Vivo,NA,Particle Only,sediment,Yes,Yes,No,sediment dutch standard water,NA,NA,33,8.1,16.7,NA,NA,28,6,4,0,11,NA,NA,NA,NA,NA,5.90E+06,particles/kg sediment dry weight,NA,NA,NA,NA,NA,NA,NA,NA,1.00E+03,mg/kg sediment,NA,NA,NA,No,NA,NA,Fitness,Mortality,Mortality,Organism,NA,Mix - See Original Study,NA,NA,Fragment,NA,NA,NA,NA,NA,NA,NA,0.048,0.009,4.999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,Yes,modified,No,No,rinse,"methanol,hexane",Yes,Yes,homogenized stirring,Yes,NA,NA,Yes,Pass,Pass,Pass,Pass,Pass,Pass,2,2,2,2,2,2,2,2,2,2,2,2,Pass,2,2,2,2,2,1,2,2,24,15,39
10.1021/acs.est.3c06829,de Ruitjer,2023,Alitta virens,Annelida,Marine,Adult,In Vivo,NA,Particle Only,sediment,Yes,Yes,No,sediment dutch standard water,NA,NA,33,8.1,16.7,NA,NA,28,6,4,0,11,NA,NA,NA,NA,NA,1.80E+07,particles/kg sediment dry weight,NA,NA,NA,NA,NA,NA,NA,NA,3.00E+03,mg/kg sediment,NA,NA,NA,No,NA,NA,Fitness,Mortality,Mortality,Organism,NA,Mix - See Original Study,NA,NA,Fragment,NA,NA,NA,NA,NA,NA,NA,0.048,0.009,4.999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,Yes,modified,No,No,rinse,"methanol,hexane",Yes,Yes,homogenized stirring,Yes,NA,NA,Yes,Pass,Pass,Pass,Pass,Pass,Pass,2,2,2,2,2,2,2,2,2,2,2,2,Pass,2,2,2,2,2,1,2,2,24,15,39
10.1021/acs.est.3c06829,de Ruitjer,2023,Alitta virens,Annelida,Marine,Adult,In Vivo,NA,Particle Only,sediment,Yes,Yes,No,sediment dutch standard water,NA,NA,33,8.1,16.7,NA,NA,28,6,4,0,11,NA,NA,NA,NA,NA,5.90E+07,particles/kg sediment dry weight,NA,NA,NA,NA,NA,NA,NA,NA,1.00E+04,mg/kg sediment,NA,NA,NA,No,NA,NA,Fitness,Mortality,Mortality,Organism,NA,Mix - See Original Study,NA,NA,Fragment,NA,NA,NA,NA,NA,NA,NA,0.048,0.009,4.999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,Yes,modified,No,No,rinse,"methanol,hexane",Yes,Yes,homogenized stirring,Yes,NA,NA,Yes,Pass,Pass,Pass,Pass,Pass,Pass,2,2,2,2,2,2,2,2,2,2,2,2,Pass,2,2,2,2,2,1,2,2,24,15,39
